Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
607,50,0,2,0,2,2,2671,36,5,1
608,33,1,2,1,1,0,2051,18,5,0
609,45,1,2,0,0,0,1300,15,1,0
610,22,0,2,1,2,1,741,12,2,1
611,48,0,1,0,2,3,1240,10,1,1
612,29,0,2,1,4,1,3357,21,5,0
613,22,0,2,2,1,1,3632,24,1,0
614,22,0,2,1,1,0,1808,18,4,1
615,48,1,3,1,0,2,12204,48,0,0
616,27,1,3,0,0,2,9157,60,5,0
617,37,1,2,2,1,1,3676,6,1,0
618,21,0,2,2,2,2,3441,30,4,1
619,49,1,1,1,1,0,640,12,1,0
620,27,1,2,1,1,2,3652,21,0,0
621,32,1,2,1,1,0,1530,18,1,1
622,38,1,2,1,0,0,3914,48,0,1
623,22,0,2,2,1,1,1858,12,4,0
624,65,1,2,0,1,1,2600,18,5,1
625,35,1,2,1,0,0,1979,15,5,0
626,41,1,2,1,1,3,2116,6,4,0
627,29,1,2,1,2,2,1437,9,1,1
628,36,1,2,1,3,0,4042,42,4,0
629,64,1,1,1,0,0,3832,9,3,0
630,28,0,2,1,1,1,3660,24,5,0
631,44,1,2,1,1,1,1553,18,4,1
632,23,1,2,1,0,2,1444,15,5,0
633,19,0,2,2,1,0,1980,9,4,1
634,25,0,1,1,1,2,1355,24,1,1
635,47,1,2,1,1,0,1393,12,3,0
636,28,0,2,1,3,0,1376,24,5,0
637,21,1,2,1,1,0,15653,60,5,0
638,34,0,2,1,1,0,1493,12,5,0
639,26,1,2,1,1,1,4370,42,5,1
640,27,0,0,1,1,1,750,18,3,1
641,38,1,1,1,1,2,1308,15,6,0
642,40,1,3,1,2,0,4623,15,3,1
643,33,1,2,1,1,0,1851,24,5,0
644,32,1,3,1,1,1,1880,18,5,0
645,27,1,2,2,0,0,7980,36,0,1
646,32,1,2,1,1,1,4583,30,4,0
647,26,0,2,1,3,0,1386,12,1,1
648,38,1,2,0,1,3,947,24,1,1
649,40,1,1,2,1,1,684,12,3,1
650,50,1,3,0,1,1,7476,48,3,0
651,37,1,1,1,1,2,1922,12,4,1
652,45,1,2,1,1,1,2303,24,1,1
653,42,1,3,1,2,2,8086,36,1,1
654,35,1,2,1,1,0,2346,24,1,0
655,22,1,2,0,1,1,3973,14,1,0
656,41,1,1,1,1,2,888,12,1,1
657,37,1,2,1,0,0,10222,48,5,0
658,28,0,2,1,1,2,4221,30,0,0
659,41,1,2,1,1,2,6361,18,4,0
660,23,1,2,2,1,3,1297,12,5,0
661,23,1,2,1,0,1,900,12,1,1
662,50,1,2,1,1,0,2241,21,4,0
663,35,1,3,1,1,2,1050,6,4,0
664,50,0,1,1,1,3,1047,6,3,0
665,27,1,3,1,1,0,6314,24,7,0
666,34,1,2,1,4,2,3496,30,4,0
667,27,0,2,1,1,0,3609,48,0,0
668,43,1,2,2,1,1,4843,12,1,1
669,47,1,2,1,1,3,3017,30,5,0
670,27,1,1,1,2,0,4139,24,0,0
671,31,1,2,1,2,0,5742,36,0,0
672,42,1,3,1,1,0,10366,60,1,0
673,24,1,2,1,3,0,2080,6,1,0
674,41,1,1,1,3,0,2580,21,0,1
675,26,0,3,2,1,0,4530,30,5,0
676,33,1,2,1,1,0,5150,24,4,0
677,24,1,2,1,2,2,5595,72,5,1
678,64,1,1,2,1,1,2384,24,5,0
679,26,0,2,1,1,0,1453,18,5,0
680,56,0,2,1,1,0,1538,6,3,0
681,37,1,2,0,0,0,2279,12,5,0
682,33,1,2,1,1,0,1478,15,5,0
683,47,1,2,0,1,0,5103,24,5,0
684,31,1,1,1,2,2,9857,36,0,0
685,34,1,2,0,0,0,6527,60,1,0
686,27,1,2,1,0,3,1347,10,5,0
687,30,1,2,0,2,2,2862,36,1,0
688,35,1,2,1,2,0,2753,9,5,0
689,31,1,2,1,4,1,3651,12,1,0
690,25,1,2,1,1,1,975,15,4,0
691,25,0,1,1,2,2,2631,15,6,0
692,29,1,2,1,2,2,2896,24,5,0
693,44,1,1,1,0,1,4716,6,1,0
694,28,1,2,1,1,0,2284,24,5,0
695,50,1,2,2,3,0,1236,6,1,0
696,29,1,2,1,1,2,1103,12,5,0
697,38,0,0,1,1,0,926,12,1,0
698,24,1,2,1,1,0,1800,18,5,0
699,40,1,3,2,1,3,1905,15,3,0
700,29,0,1,2,3,0,1123,12,4,1
701,46,1,2,0,1,1,6331,48,1,1
702,47,0,2,0,2,3,1377,24,5,0
703,41,1,2,1,2,2,2503,30,0,0
704,32,0,2,1,1,2,2528,27,0,0
705,35,0,2,0,3,0,5324,15,1,0
706,24,1,2,1,2,2,6560,48,1,1
707,25,0,2,2,1,2,2969,12,4,1
708,25,0,2,1,1,2,1206,9,5,0
709,37,1,1,1,1,2,2118,9,5,0
710,32,1,3,1,3,0,629,18,5,0
711,35,0,2,0,1,1,1198,6,3,1
712,46,1,3,1,0,0,2476,21,1,0
713,25,1,1,1,1,1,1138,9,5,0
714,27,1,3,1,1,2,14027,60,1,1
715,63,1,2,1,0,0,7596,30,1,0
716,40,1,2,1,0,0,3077,30,5,0
717,32,1,3,0,1,0,1505,18,5,0
718,31,1,2,1,0,3,3148,24,5,0
719,31,1,2,1,2,2,6148,20,1,0
720,34,1,3,1,1,3,1337,9,5,1
721,24,0,2,2,4,2,433,6,3,1
722,24,0,1,1,1,1,1228,12,1,1
723,66,0,1,1,3,2,790,9,5,0
724,21,0,2,2,1,0,2570,27,1,1
725,41,0,1,1,4,0,250,6,1,0
726,47,1,1,1,3,0,1316,15,5,0
727,25,0,2,2,1,1,1882,18,5,1
728,59,0,2,2,1,2,6416,48,0,1
729,36,1,2,1,4,3,1275,24,0,0
730,33,1,2,1,1,2,6403,24,5,0
731,21,1,1,2,1,1,1987,24,5,1
732,44,0,1,1,1,2,760,8,5,0
733,28,0,2,2,4,0,2603,24,1,0
734,37,0,2,1,1,0,3380,4,1,0
735,29,0,0,1,0,2,3990,36,2,0
736,23,0,3,2,1,2,11560,24,1,1
737,35,1,1,1,2,1,4380,18,1,0
738,45,1,3,1,1,0,6761,6,1,0
739,26,0,1,2,2,2,4280,30,0,1
740,32,1,2,1,2,1,2325,24,1,0
741,23,1,1,1,1,2,1048,10,5,0
742,41,1,2,1,0,0,3160,21,5,0
743,22,1,2,1,3,1,2483,24,4,0
744,30,1,3,1,0,1,14179,39,4,0
745,28,1,1,1,1,1,1797,13,0,0
746,23,0,2,2,1,1,2511,15,1,0
747,37,0,1,1,1,1,1274,12,1,1
748,26,1,2,1,0,0,5248,21,1,0
749,33,1,2,1,1,0,3029,15,1,0
750,49,0,2,1,1,1,428,6,4,0
751,23,0,1,1,1,1,976,18,1,1
752,23,0,1,2,2,2,841,12,0,0
753,25,0,2,1,1,0,5771,30,5,0
754,55,1,2,0,4,0,1555,12,6,1
755,32,0,2,2,0,1,1285,24,1,1
756,74,1,0,1,1,3,1299,6,1,0
757,39,1,2,0,0,3,1271,15,5,1
758,31,1,2,1,1,0,1393,24,1,0
759,35,1,2,1,1,1,691,12,1,1
760,59,0,2,1,0,0,5045,15,1,0
761,24,0,2,2,1,1,2124,18,4,1
762,24,1,1,1,1,1,2214,12,5,0
763,30,1,3,0,0,0,12680,21,1,1
764,27,1,2,1,2,0,2463,24,1,0
765,40,1,1,1,1,2,1155,12,5,0
766,31,1,1,1,1,1,3108,30,4,1
767,31,0,2,2,0,0,2901,10,1,0
768,28,1,2,2,1,2,3617,12,4,0
769,63,1,1,1,1,0,1655,12,5,0
770,26,0,2,2,0,1,2812,24,1,0
771,25,0,3,1,1,1,8065,36,3,1
772,36,1,3,1,1,0,3275,21,1,0
773,52,1,2,1,2,0,2223,24,5,0
774,66,1,0,0,3,3,1480,12,1,0
775,25,0,2,2,0,1,1371,24,1,1
776,37,1,2,1,1,0,3535,36,1,0
777,25,0,2,1,1,1,3509,18,5,0
778,38,1,3,1,4,0,5711,36,1,0
779,67,0,2,1,1,2,3872,18,6,0
780,25,1,2,1,1,2,4933,39,5,1
781,60,1,2,1,4,0,1940,24,1,0
782,31,1,1,1,1,2,1410,12,3,0
783,23,0,1,1,2,2,836,12,1,1
784,60,1,3,1,0,2,6468,20,1,0
785,35,1,1,1,4,2,1941,18,0,0
786,40,1,2,1,3,0,2675,22,5,0
787,38,1,2,1,0,0,2751,48,1,0
788,50,1,2,0,1,2,6224,48,3,1
789,27,1,2,1,1,1,5998,40,3,1
790,39,0,2,1,1,2,1188,21,0,1
791,41,1,3,1,0,0,6313,24,1,0
792,27,1,2,1,0,0,1221,6,4,0
793,51,1,2,0,1,3,2892,24,4,0
794,32,1,2,2,3,0,3062,24,4,0
795,22,0,2,2,2,0,2301,9,4,0
796,51,1,2,0,0,1,7511,18,1,1
797,22,0,1,2,1,0,1258,12,4,0
798,54,1,2,1,0,0,717,24,1,0
799,35,1,0,1,0,2,1549,9,1,0
800,54,1,2,0,1,0,1597,24,3,0
801,48,0,1,2,1,2,1795,18,5,0
802,24,0,2,1,1,1,4272,20,4,0
803,35,1,2,1,0,0,976,12,5,0
804,24,0,0,2,0,2,7472,12,1,0
805,24,1,2,1,1,1,9271,36,1,1
806,26,1,1,1,1,2,590,6,5,0
807,65,1,2,1,0,0,930,12,5,0
808,55,1,3,0,1,2,9283,42,1,0
809,26,0,0,2,1,2,1778,15,1,1
810,26,1,2,1,1,2,907,8,0,0
811,28,1,1,1,1,2,484,6,5,0
812,24,1,2,1,1,1,9629,36,1,1
813,54,1,2,1,1,1,3051,48,2,1
814,46,1,2,0,1,1,3931,48,1,1
815,54,0,2,2,1,2,7432,36,1,0
816,62,1,2,1,3,0,1338,6,2,0
817,24,0,2,2,1,0,1554,6,5,0
818,43,1,3,1,1,1,15857,36,7,0
819,26,1,2,1,1,1,1345,18,5,1
820,27,1,2,1,1,0,1101,12,1,0
821,24,1,2,1,1,3,3016,12,5,0
822,41,1,2,1,1,1,2712,36,4,1
823,47,1,1,1,1,1,731,8,1,0
824,35,1,3,1,1,0,3780,18,4,0
825,30,1,2,1,1,1,1602,21,1,0
826,33,0,2,2,1,1,3966,18,1,1
827,36,1,2,1,1,0,4165,18,0,1
828,47,1,2,0,0,1,8335,36,1,1
829,38,1,2,0,0,2,6681,48,0,0
830,44,1,2,1,3,0,2375,24,0,0
831,23,0,2,2,1,1,1216,18,1,1
832,29,1,2,2,1,1,11816,45,0,1
833,42,0,2,1,0,2,5084,24,5,0
834,25,0,1,1,1,3,2327,15,5,1
835,48,1,2,1,1,1,1082,12,1,1
836,21,0,2,1,0,0,886,12,5,0
837,23,0,1,2,1,0,601,4,4,0
838,63,1,2,1,1,1,2957,24,1,0
839,46,1,2,1,1,0,2611,24,5,0
840,29,1,2,1,1,1,5179,36,4,1
841,28,1,1,1,1,0,2993,21,1,0
842,23,0,2,1,1,0,1943,18,6,1
843,50,1,2,1,1,0,1559,24,0,0
844,47,1,2,1,1,0,3422,18,4,0
845,35,1,2,1,0,2,3976,21,4,0
846,68,1,2,2,0,0,6761,18,1,1
847,28,1,2,1,1,0,1249,24,1,0
848,59,1,2,1,1,1,1364,9,5,0
849,57,1,1,1,1,1,709,12,5,1
850,33,1,2,2,1,1,2235,20,1,1
851,43,1,2,1,0,0,4042,24,1,0
852,35,1,2,0,1,0,1471,15,5,0
853,32,1,1,0,1,1,1442,18,1,1
854,45,1,2,1,1,0,10875,36,1,0
855,33,1,2,1,2,0,1474,24,1,0
856,40,0,2,1,0,0,894,10,3,0
857,28,1,2,0,1,0,3343,15,4,0
858,29,0,2,1,1,1,3959,15,1,1
859,26,1,2,2,2,0,3577,9,1,0
860,27,1,2,1,4,0,5804,24,1,0
861,28,1,2,1,1,0,2169,18,0,1
862,35,0,2,1,1,1,2439,24,5,1
863,32,1,1,1,4,0,4526,27,4,0
864,25,1,1,2,1,0,2210,10,4,1
865,20,0,2,2,3,0,2221,15,4,0
866,27,0,2,1,1,1,2389,18,5,0
867,42,1,2,1,1,0,3331,12,4,0
868,37,1,2,1,0,0,7409,36,0,0
869,24,0,2,2,1,1,652,12,4,0
870,40,0,2,1,3,0,7678,36,4,0
871,46,1,2,1,1,3,1343,6,1,0
872,26,1,2,1,2,1,1382,24,0,0
873,24,0,2,1,0,0,874,15,2,0
874,29,1,1,1,1,1,3590,12,4,0
875,40,0,2,1,4,2,1322,11,1,0
876,36,1,3,0,1,1,1940,18,5,0
877,28,1,2,1,1,0,3595,36,5,0
878,27,1,3,0,1,1,1422,9,1,1
879,36,1,2,1,0,0,6742,30,5,0
880,38,1,3,1,1,0,7814,24,1,0
881,48,1,2,0,0,0,9277,24,1,0
882,36,1,2,1,0,2,2181,30,1,0
883,65,0,0,1,1,0,1098,18,5,0
884,43,1,2,1,1,2,4057,24,4,1
885,53,0,2,1,1,1,795,12,3,1
886,34,1,2,1,0,2,2825,24,0,0
887,23,1,2,1,1,2,15672,48,0,1
888,34,1,3,1,1,0,6614,36,1,0
889,40,1,2,2,0,0,7824,28,1,0
890,43,1,3,1,1,1,2442,27,0,0
891,46,1,2,1,1,0,1829,15,5,0
892,38,1,1,1,1,1,2171,12,1,0
893,34,1,2,1,1,2,5800,36,1,0
894,29,1,2,1,0,0,1169,18,5,0
895,31,1,3,1,0,0,8947,36,1,0
896,28,0,3,2,1,1,2606,21,5,0
897,35,0,2,1,4,0,1592,12,4,0
898,33,0,1,2,0,0,2186,15,4,0
899,42,1,2,1,1,1,4153,18,4,1
900,43,1,2,2,1,1,2625,16,1,1
901,44,1,2,1,0,0,3485,20,1,0
902,42,1,2,0,0,0,10477,36,1,0
903,40,1,2,2,0,0,1386,15,5,0
904,36,1,3,1,1,0,1278,24,5,0
905,20,1,3,2,1,1,1107,12,5,0
906,24,1,1,1,0,1,3763,21,1,0
907,27,1,2,1,0,2,3711,36,3,0
908,46,0,1,1,1,0,3594,15,1,0
909,33,0,1,1,0,2,3195,9,1,0
910,34,0,2,1,1,0,4454,36,5,0
911,25,0,1,1,1,2,4736,24,4,1
912,25,0,2,1,0,2,2991,30,5,0
913,28,1,2,1,4,0,2142,11,0,0
914,31,1,2,2,1,1,3161,24,0,1
915,32,0,3,1,1,2,18424,48,7,1
916,32,1,2,1,2,0,2848,10,1,0
917,68,1,3,1,1,1,14896,6,1,1
918,33,1,2,1,2,1,2359,24,4,1
919,39,1,3,2,1,1,3345,24,4,1
920,28,0,2,1,1,0,1817,18,4,0
921,37,1,3,1,3,0,12749,48,5,0
922,22,0,2,2,1,1,1366,9,5,1
923,30,1,2,2,1,2,2002,12,1,0
924,55,1,2,1,1,1,6872,24,4,1
925,46,1,2,1,1,1,697,12,1,1
926,21,0,2,2,1,1,1049,18,4,0
927,39,1,2,0,1,1,10297,48,1,1
928,58,1,2,1,0,0,1867,30,5,0
929,43,1,1,1,1,1,1344,12,1,0
930,24,1,1,1,1,1,1747,24,4,0
931,22,0,2,1,1,2,1670,9,5,1
932,30,1,2,1,1,0,1224,9,1,0
933,42,1,2,1,3,0,522,12,5,0
934,23,0,2,1,1,1,1498,12,5,0
935,30,1,3,1,2,2,1919,30,5,1
936,28,0,1,1,1,3,745,9,5,1
937,30,1,3,2,1,2,2063,6,5,0
938,42,1,2,0,1,2,6288,60,3,1
939,46,1,3,1,0,0,6842,24,1,0
940,45,1,3,1,0,0,3527,12,1,0
941,31,1,1,1,1,0,1546,10,1,0
942,31,1,2,1,0,0,929,24,4,0
943,42,1,1,1,1,0,1455,4,1,0
944,46,0,2,2,1,1,1845,15,4,0
945,30,0,2,1,3,2,8358,48,1,0
946,30,1,2,0,3,1,3349,24,4,1
947,38,1,3,1,0,0,2859,12,1,0
948,43,1,1,1,1,0,1533,18,4,1
949,31,1,2,1,2,0,3621,24,5,1
950,40,1,0,1,1,2,3590,18,0,0
951,24,1,2,1,1,1,2145,36,0,1
952,28,0,2,2,3,2,4113,24,1,1
953,26,0,3,1,1,0,10974,36,4,1
954,29,0,2,1,1,1,1893,12,1,0
955,57,0,3,2,4,1,1231,24,5,0
956,49,1,1,1,0,3,3656,30,5,0
957,37,1,1,1,1,2,1154,9,5,0
958,45,1,1,1,1,1,4006,28,1,1
959,30,1,2,0,2,2,3069,24,4,0
960,30,1,2,2,1,0,1740,6,5,0
961,47,1,2,1,1,2,2353,21,1,0
962,29,1,2,1,0,0,3556,15,1,0
963,35,1,2,1,3,0,2397,24,5,1
964,22,1,1,1,1,2,454,6,6,0
965,26,0,2,1,0,2,1715,30,5,0
966,23,1,1,1,3,2,2520,27,5,1
967,54,0,3,2,1,0,3568,15,5,0
968,29,1,2,2,0,0,7166,42,5,0
969,40,1,1,1,1,1,3939,11,1,0
970,22,1,2,1,2,2,1514,15,6,0
971,43,1,1,1,1,0,7393,24,1,0
972,29,0,0,2,1,1,1193,24,1,1
973,36,1,2,2,1,1,7297,60,0,1
974,33,0,2,1,1,0,2831,30,5,0
975,57,0,1,1,3,3,1258,24,5,0
976,64,0,2,1,1,2,753,6,5,0
977,42,1,2,1,0,2,2427,18,0,0
978,47,1,1,1,1,0,2538,24,1,1
979,25,1,2,2,2,2,1264,15,1,1
980,49,1,2,1,1,2,8386,30,4,1
981,33,1,3,2,1,0,4844,48,0,1
982,28,0,3,1,2,3,2923,21,1,0
983,26,1,2,1,1,1,8229,36,1,1
984,30,1,1,1,1,0,2028,24,4,0
985,25,0,2,2,1,1,1433,15,4,0
986,33,1,2,1,1,3,6289,42,0,0
987,64,0,2,1,2,0,1409,13,5,0
988,29,1,3,0,1,1,6579,24,1,0
989,48,1,1,1,1,2,1743,24,5,0
990,37,1,1,1,0,0,3565,12,3,0
991,34,1,1,1,2,0,1569,15,5,0
992,23,1,1,2,0,1,1936,18,5,0
993,30,1,3,1,1,1,3959,36,4,0
994,50,1,2,1,0,0,2390,12,1,0
995,31,0,1,1,1,0,1736,12,4,0
996,40,1,3,1,1,1,3857,30,1,0
997,38,1,2,1,1,0,804,12,5,0
998,23,1,2,0,1,1,1845,45,5,1
999,27,1,2,1,2,2,4576,45,1,0
